,0
42,"Nestled among tropical vegetation , with the sound of the Atlantic Ocean rolling into shore , you feel far away from the hustle and bustle yet it is less than an hour ’ s drive from the city of Takoradi . 
 Caution : Road is too rough . Consider Pick - up vans . 
 
 Beautiful sea beach with photogenic views . Clean area with water . The beauty of this place is the small rocky mountain ⛰ . . just walk 3 - 4 minutes and click pictures and videos there . Adding some of the pictures . water is green , grey and yellow lol . . mix colour . 
 
 Make sure you order your food in advance as they will take 2 hours if they are saying 5 minutes . I had omelette and bread and waited for 1 one hour ."
43,"An excellent hideaway vacation spot for the couple who wants to get away from the busy city atmosphere . A very serene area with a beautiful beach . The food is great but takes a long time to prepare . I recommend ordering early enough so as not to be disappointed . One needs to note , however , that the resort is very far away from the main road . The road is generally smooth though . We could not find the sign at the main junction and this we missed the turn and got lost . Be sure to ask for directions . You will spend about 20 - 30 mins drive from the main road on dirt road before you get the resort . After the main junction there are signs at each junction so you will find your way . I recommend this resort for couples who want a quiet , low key and affordable vacation . Just make sure you have a 4x4 😂"
44,Wonderful experience in the middle of nowhere
45,Always one of my fav places to visit . Food is great and beach is always clean . Rooms are very affordable and clean
46,"Serene atmosphere , perfect 👌🏾 for a get away trip and wonderful people at the hotel . Love the place . Would always choose that place over and over again"
47,It is a serene Atmosphere
48,Amazing getaway for everyone . Beautiful sunsets and serene atmosphere
49,Sure a wonderful place to enjoy the breeze .
50,"To be honest , have not visited the place but will find a time and go to relax there"
51,"Perfect value for its money . Clean rooms with AC , nice guys at the reception ."
52,"Has a very beautiful view of an estuary , services and facilities are commendable"
53,"Good atmosphere , great environment ( right at the place where the Ankobra river joins the sea ) and good service ! There ' s more room for improvement , however ."
54,"A wonderful experience . Neat environment , courteous workers and as for the food A + ."
55,Nice and serene environment for relaxing .
56,Loved the serene atmosphere . Loved waking up to the sound of the rumbling waves . Relaxing to the max . Don ' t miss the sunset and sunrise . The food both breakfast and dinner was superb I will definitely be there again
57,"The Beach and Ankobra views are the best rooms to stay , both for privacy and leisure"
58,"Ankobra Bridge Hotel is an amazing place . Nice facilities , rooms and serene environment . The food is great . Rooms range between Ghc200 - 400 . Great place to get out of the city to relax . It was great being there ."
59,Home away from home
60,"❣ ❣ ❣ ❣ ❣ food 
 Room ' s 👄 👄 👄 👄 👄 👄"
61,Very nice place for relaxation
62,One of the best place to relax in the western part of Ghana
63,Great experience
64,"Excellent amenities , rooms smell good and breakfast is top notch . Will recommend this hotel to all ."
65,Its close to the ankobra River and is very calm and refreshing staff are very welcoming and friendly food is great too
66,Passed through briefly ! Excellent service ! Good location
67,Comfortable and friendly staff .
68,"The place is amazing , guys y ' all gotta go there"
69,"Nice place , good customer service ."
70,Fantastic
71,Nice ambiance
72,Nice neat and new
73,"Green Zion Garden and the host , Ellis , left an imprint on my heart that I can never forget . Thank you ."
74,"Green Zion Garden is an actual paradise . The various little / large rooms are like natural hobbit houses . No Aircon but sure a fan is grand . There ' s a tree house , too . The garden is immaculate , green indeed . Beautiful flowers , plants and trees . There are birds , dragonflies , a friendly goat , a couple of friendly dogs . It ' s right by the beach where Ellis has a beautifully decorated wooden bar . He ' ll feed you delicious veggie food and serve you tasty drinks . He ' s got the best smile . 💗There are seats & shaded beds by the ocean . The beach is so clean - no rubbish . The cleanest I ' ve seen in Ghana . I should have stayed for longer . I ' ll go back one day . . . The village of Butre itself is across a rickety Indiana Jones style bridge and is a bustling lively fishy place . The children all ran at me for fistbumps & hi fives . Goats & chickens & dogs everywhere . We got a motorbike to Asa Baako Festival in Busua but walked back , the full moon illuminating our way across the beach , then our headtorches helping for the path through the bush over the hilly headland , with birds frogs & insects providing the soundtrack . A very magical special place , which seems to be growing even better with each new build & idea . Loved it 😊"
75,"I crossed rendomly the Green garden eco lodge when I was trekking on the coast . I met Ellis there , what a positive and funny man . We ate together and had good fun . He show me the lodge , very clean and nice place . The garden is crazy . . very good moments and vibes here !"
76,Very very green space and cool environment . Great gardening and eco lodge experience
77,"They have OM sign on the outside board . You will see cats around . 10 minutes drive from fantas folly . He knows how to cook indian food . The man will offer you everything you want . Posting his picture too in the review . Offering free private parking onsite , Green Zion Garden offers pet - friendly accommodations in Butre . The bed and breakfast has lawns and hammocks for guests located in the garden . Guests can enjoy a meal at the outside garden restaurant that serves local , Indian and International cuisine . The property has an onsite bar at the garden also a coffee shop . You will find a shared lounge at the property and Thai yoga massage treatments are available ."
78,Paradise is in Ghana
79,Wooow it was such a special place ! incredible ! ! !
80,"I almost don ' t want to recommend it because the green zion garden is such a Hidden gem . Moreover Ellis , the host , is honestly the best Guy i ' ve met in Ghana . If you want the best all round experience when you are in Ghana , visit Ellis ' place , he will welcome you in his Zion garden ."
81,"Affable owner , good food , great to relax ! All sited in a beautiful , skilfully elaborated garden . Will come again !"
82,"A place in an amazing garden , Ellis doing great job to care for his guests , good food and clean rooms ."
83,Amazing place in butre ! !
84,"Super lovely place . Set in the serene and beautiful ambiance of one of Ghana ' s beautiful coastlines , the Green Zion Garden was the perfect location for good relaxation , good and peaceful unwinding . My host , Ellis was super amazing . A super friendly , hardworking and open minded gentle rasta man . His vegetarian cooking was top notch . His knowledge and sharing of experience was great . He prepared a bonfire for me and he is a kind of a good drummer too [ but pretty please , don ' t let him sing : ) ] The various lodges , from the dormitories to the upper deck of the tree house , were neat , lovely and awash with beautiful colors and traditional fabric . Bonus : when you request for a coconut , you get a fresh one which is cut from the tree right in your face . I sure will be there again ."
85,We passed dinner 06 / 2018 - the atmosphere in the restaurant / lounge is indescribable ! After the fantastic food we grabbed Djembe and guitar and sang together with the host under the moonlight in the garden until late at night . Nice place ! An unforgettable evening .
86,Green zion garden offers a nice stay in a great garden with djungle feeling and a very friendly host who will gladly show you around the area . Pancakes are recommended !
87,A friend ' s wedding refreshment was held at that venue . Warm reception given to us
88,"Very fun , can see from a distance Agartha Overlords Da God Squad"
89,"The customer service is more than excellent , workers are very friendly and they give you a wonderful reception , the rooms are very clean and I can lodge in over and over and over again"
90,"It ' s the best . Spend the night once , you ' d love it . It ' s just great"
91,A great place to be
92,Good environment
93,"The pool side , spacious parking space says and the reception the security gives you on entry of the premises says it all ."
94,Nice hotel . An ok rest place
95,The hotel is very nice and beautiful . I will always recommend it to anyone .
96,Is a nice plce only a bushy area
97,Very cool environment
98,Simply home away from your own home
99,Love this hotel .
100,"Very hospitable , staff were very helpful . . . . . they should improve their restaurant services"
101,Most quiet and perfect place of stay away from the busy street of tadi
102,Nice place to rest
103,Good service
104,Nice and cheap place kindly team
105,It ' s a cool place with great view . Very serene .
106,Very nice and affordable place to visit
107,Great place
108,"The amenities ( room / poolside / restaurant , etc ) are world class . Their meals are equally tasty and cost between Ghc100 + ( £ $ € 9 / 10 ) . They have amiable staff"
109,"The experience in Alliance was super good 👌 . . . beautiful environment , services , and most importantly , the staff . To mention but a few , Hnel ( the 5 - star manager with sense of humour and HUMILITY ) , Samuel ( ever smiling dude in service etc ) , Kafui ( Front Desk personnel with swag ) , Jacqueline ( the calm and wonderful person , ensuring everything is OK ) . 
 Thanks ☺ ️"
110,It is a very quiet hotel but the rooms need cleaning The furniture and bathroom are very outdated
111,"Absolutely exquisite , nestled in the beach road area of Takoradi , Alliance is a home away from home . For the business traveller as well as for those seeking pleasure ."
112,"Not as beautiful as the pictures and reviews I saw and it looked quite tight , not spacious enough . But it has its good sides , didn ’ t stay long enough to find them though"
113,Worthy experience
114,Clean and serene location with friendly staff . The rooms are very small but well maintained
115,Don ' t know whether it was the season and thus staff were overwhelmed but services left soo much to be desired .
116,Their food was exquisite
117,Cozy place with great service and value for money
118,"This is one of the nice and big hotels in Takoradi . I was hoping to have a better experience than I did ; especially knowing they are now owned by Eagles . Their staff were generally nice , but their services were poor . The breakfast buffet was very limited . We had the same options of food for our 3 night stay for breakfast . I wouldn ' t add it to my favourite places in Takoradi . Hopefully , they improve soon"
119,Nice place
120,"If not the best , it ' s among the best hotels in not just in Takoradi but Ghana as a whole . 💯 ❤ ️"
121,I have a sound mind for learning
122,We stayed at this hotel for a family vacation and had an amazing time . The staff were friendly and went above and beyond to make the stay enjoyable .
123,My staying at Alliance is peaceful and perfect . The access road to the hotel must be looked at .
124,"Bad experience . Had to change rooms . Stained mattress , broken window , broken toilet seat and so many issues"
125,"Unpaved roads leading to the hotel , roomservice taking almost 1 , 5hours to deliver a simple meal , diarrhea from the food ( or water ? ) , shower spraying more water to the ceiling than to the floor , other guests playing loud music at the pool , male guest staring inappropriately at me in the gym and reception taking no immediate action afterwards , i won ' t recommend this hotel to anyone , especially other female foreigners ."
126,It ' s an amazingly serene and luxurious place to spend a few nights and forget about the world .
127,Very nice lodge
128,Nice place
129,I stayed in the hotel for a work related retreat and liked the experience . The rooms were very clean and their facilities were standard . Their front desk staff were very friendly and welcoming but two of the staff did not depict this trait . Their conference rooms were ok even though I think the arrangements of the furniture was not fit for purpose given the nature of our engagement . I didn ' t get to use other facilities such as gyms and so I can ' t attest to its availability or state . Overall it ' s a lovely place especially for a weekend getaway . .
130,There is a lovely ambience and I really enjoyed the buffet dinner
131,Serene environment
132,The best comes from the West
133,"Hotel is normal , but I wrote to the pool , and I was kicked out ( I would like to write to the pool with a high ! ! ! Fix the bug , pancreas , and so all the norms P . S . I left a goose in the room , throw it on Tinkoff Bitoch"
134,"😍 😍 😍 😍 
 
 I loved our stay at this hotel . The room is fabulous . Furniture is so adorable . 
 
 The bedstead had this classy display of transparent material with super comfortable mattress and bedding . 
 
 The view from our window was beautiful . Showing the pool and vast green fields around the hotel . 
 
 Washroom , housekeeping and breakfast were on point . Rooms Rates are a little on the high side . 
 
 In the evenings during holidays , the live band music is a must . Anytime I ’ m back in Takoradi , I ’ ll surely visit again ."
135,"Management should just look things through , things here are way expensive , how can just 4pcs of spring rolls be 100gh . n to ma opinion u guys are losing customers . . cos alot of pple complaining about prices here . thanks !"
136,"Great hotel in Takoradi , very nice view to ocean ."
137,"indeed , we ' ve plays and we ' ve plays . . . . Eiiii takodi ! We have something ❤ ️ 🌍 ry 🙏 Takoradi to the World 🌬"
138,"Walk inn shower . Moderate neat comfortable rooms . There are 3 swimming pools ( kids , normal & Olympic size ) . Well maintained . Dining either by the pool side , dinning areas or whatever is so comfortable and relaxing for lovers , family or business meetings indoors and outdoors . I can view what goes on at the beach , golf course , football pitch and swimming pools from the comfort of my room . This is 👌 . Guess what ! The meals aren ' t expensive as I imagined . Wifi is unreliable ."
139,Calm space and very accessible from the Takoradi city . It ’ s on the beach road
140,"Clean rooms , warm staff reception , with a good variety of options on their buffet breakfast menu . Lovely view of the ocean and lovely landscape from the hotel rooms"
141,Great view and Serene environment .
142,"Pizza was nice . Friendly , and lovely environment with a scenic view ."
143,"Awesome and relaxing hotel , good for business and family out"
144,The Ghana Institution of Engineering held its annual banquet ( dinner ) here and the food was very tasty . Set up for the AGM was also great . Nice place !
145,Still a great place in Takoradi
146,Nice and wonderful place to relax and work
147,"5 ⭐ This is said . Everything is super , food , rest , amenities , etc ."
148,Thank you to management and Staff . Excellent service .
149,Fantastic
150,"The hotel is nice however the price for this resort is not cheap and for a 4 star hotel I was expecting a higher standard . 
 We booked a seaview chalet but could not see the sea due to the back gate and trees . 
 The building needs to be renovated . 
 The shower was not draining properly , the swimming pool lounge chairs were not in good condition and the pool beds were dirty . 
 We didn ’ t have have hot water for the first day and night , this was rectified but our first showers were cold . 
 We had a power cut which lasted more than an hour . The hotel should have an operational generator . 
 The only positive thing was the breakfast buffet with continental and freshly cooked food including local food that was very tasty ."
151,Air conditioning was poor and I hardly slept all night . Pillows were like big gummy bears ( extremely firm and round ) . Had some food outside at the back and it was ok .
152,"Very good hotel , clean rooms , very comfortable and delicious food , it ' s the best hotel to stay in Takoradi in my opinion ."
153,Great resort
154,It ’ s absolutely beautiful ! Staff is very friendly and caring . An excellent selection of food on the menu . Perhaps a larger selection of onsite entertainment would make it the perfect getaway to stay in
155,"I absolutely loved my stay at Red Mango . I was there for my honeymoon and it was lovely . Their rooms were really neat and modern , staff were welcoming and friendly but professional , the pool , the food , the environment , access to town etc . It was a perfect hideout for us !"
156,Service and the location is a top notch 😊👌
157,"I recommend for everyone , the best place to be . . ."
158,Well - arranged apartments for good comfort of the couple and family . Well located in the heart of Takoradi
159,"I had great time at Red mango hotel . The service was excellent , food was and room was very nice ."
160,"This is located at a very serene area in Takoradi . Very close to the road and it ' s easily accessible . The rooms are cool , quite average . Their services are nice . The one who attended to me was very smart and professional ."
161,The environment is serene . Great view at night . Good to dinners and couple night out
162,The rooms are so nice and comfy ! Beautiful experience
163,I had an amazing experience and would definitely recommend to anyone looking to visit Takoradi soon .
164,"Couldn ’ t have asked for any better . 
 Services were top notch ."
165,Red Mango has an awesome interior design . And the rooms were really neat . I personally loved the washrooms . Top class .
166,It was lovely . Clean room . Staff was polite and professional . I enjoyed my stay 🥰
167,I enjoyed my stay
168,Very comfortable and serene environment . I will go there again .
169,"The facilities exceeded my expectations . The bed was very comfortable , the living room was spacious , the kitchenette was useful and as a breastfeeding mum , I love that you had a fridge with a sizeable freezer unit . 
 
 However there was a smell in the room which was quite strong . Smelt like sewage / something dump that didn ’ t dry properly ; especially the area around the vent in the kitchen . Regardless , I was impressed , enjoyed my stay ."
170,It ’ s a really lovely place . Apartments are very neat and feel like home . Their pool is very tidy and customer service is excellent .
171,Excellent 👌
172,Love the pool
173,Best New hide out in takoradi for me . Lovely rooms ! ! Very friendly staff . Will go all out to get your requests met . Only problem is pool is unattended to . And I saw crows bathing in it . Not very healthy . Hopefully it ' s addressed .
174,"The best hotel for business and vacation , and has nutritious and assorted food for every occasion ."
175,Nice place
176,"Lovely apartment with high quality finishing , has kitchenette but facility provides catering services as well . There ' s daily room cleaning and staff are top notch professional and friendly . There ' s an infinity pool set in a peaceful garden . Great place for work travel or a get away"
177,A cozy and relaxing place for the whole family
178,Lovely and serene place . The waitresses were more than happy to serve us . It is a good accommodation pick if you ’ re In Takoradi for a few days
179,Nice place and bar area
180,"What a place to be , a siren environment and perfect when it comes to the service they render to their guest ."
181,Best Place i ever visit
182,Gives comfortable home away from home
183,W
184,Great
185,Indeed it is a nice place to be
186,Beautiful Compound
187,Cozy room . Serene environment
188,Nice environment
189,Nice
190,Sedelam Lodge is a home away from home . U will never regret if you cherish comfort . Cousy and serene . Will recommend Sedelam on any day . 100 % 👌
191,A very Good hotel in Aboadzi enclave
192,Nice place to be . 👍
193,A very Cool and Nice place to lodge . Excellent client service . I highly recommend Sedelam Lodge for anyone looking for a cool place to lodge in Takoradi . ❤ ️
194,"Friendly staff , well managed and very Serene environment . It ' s a must if you are looking for a change from the usual buzz of the city to just relax and have fun"
195,A nice place to have a countryside vacation . Beautiful environment and great reception . I recommend this place .
196,Beautiful environment with excellent service . I really enjoyed my stay and the great customer service provided . I recommend you visit this . More than a home
197,My Honeymoon stay at the Sedelam Lodge was the best . It has serene and beautiful edifice with comfortable king / Queen size beds . # sedelam ❤ ️ ❤ ️
198,Great environment . Nice and comfortable rooms . My family and I totally enjoyed our stay .
199,"VERY COMFORTABLE LODGE TO BE , BEST EXPERIENCE ."
200,"Great place in a very serene area . If you need a place away from the hustle and bustle of the city to get on with your business , Sedelam is the place to be ."
201,"Excellent Hotel Service , Serene Environment . Nice room . I loved my stay"
202,Serene
203,Nice
204,Nice serene view
205,A well managed lodge with decent facilities . I rate it a 3 star because of some minor factors
206,Boarding facility provided by the College
207,The place was cool and refreshing
208,"Guest House located at the top of a volley of irregular staircases very steeped in inconvenient access . Superb view of the city and the sea . Vast , clean but without insured running water . Staff empathy . Ni wifi , contrary to what is mentioned . This is a little complicated center to manage past 18 hours at the end of service of the Taxi Taxis"
209,"Not bad at all , just be careful on the address provided"
210,"I enjoyed my stay here ! Very big room , good location and great to the sea view and even the community view . . . I wake up every morning standing on my corridor viewing the sea and also see people passing by . It ' s life worth for this for me . Just had some little challenges with booking . com . breakfast was started but i understood it was a mistake on the booking page . Apart from that , all was good ."
211,Nice place and affordable . I wished they had constant water flow and Wifi . Aside that everything else average .
212,Was fantastic
213,Nice place
214,Cool place
215,It was cool and I love it
216,"Room quite spacious , but No running water ."
217,It was ok
218,Was and has been really happy for a very long time . . . / / * / residing here has been very wonderful all these years . . . / / * / * /
219,Cool
220,"oh i like when you there you see the township . their rooms are spacious . but there is no bar , spa"
221,"Free WiFi , and Internet access"
222,Affordable and beautiful
223,"They don ' t use breakfast . Access is complex , there are several steps . It is moderately decent for the price they ask . The views are pretty"
224,Yaa
225,This guest house treat their visitors very nice and the place is indeed meant for relaxation
226,Perfect in the sense that you have a peaceful place well situated with lovely staff always there to help ! It was a pleasure to be there and I highly recommend it .
227,Comfortable and peaceful
228,Good
229,The place is not well equipped specially the rooms and they don ' t have good offers too
230,"Vacation , went to swim"
231,Bad network but serene environment .
232,"Incredibly nice and helpful staff , willing to always advise and help . We enjoyed it a lot"
233,"Nice pool , a good place to socialise , especially on weekends and holidays"
234,"Nice hotel , affordable hotel . Got a pool , gym , restaurant , friendly and effective staff ."
235,FRIENDLY STAFF AND GREAT ENVIRONMENT AS WELL . I RECOMMEND TO EVERYONE VISITING CAPE COAST LODGE THERE .
236,It ' s a nice place to be
237,It is a very nice place
238,Nice place . Kindly fix the road leading to the facility . The network is terrible by but a great place to be
239,Very good Services
240,"It ' s a good hotel in a serene area . It has a fitness center , a bar and a swimming pool ."
241,"I enjoyed that place , very safe , rooms are neat , their service are nice and the location is awesome"
242,Nice place cool for family events
243,Infact I did that design and the rooms are so spacious . You have your comfort .
244,Very serene environment
245,It a nice place with amazing envernoment
246,Excited
247,Good
248,Nice atmosphere
249,Cool place
250,Its a nice place . We went to swim in the pool with my students . We enjoyed the clean water and had some fun
251,Fun
252,Cool place to be
253,"I met one of the managers , Richard , he was super good . Excellent customer service . They have clean room just that they get a little heated up in the afternoons ."
254,"I think the management need to step up their game . . Room service was not good . . and I haven ' t yet know a guest house that charges Gh¢100 for a night without serving Breakfast , and even tying to get food around the area is quite a challenge ."
255,Friendly staff
256,"To recommend , dirty , too hot place , the common toilets do not locate , no towel or soap for the shower , no trash can in the bedroom , dust , hair and hair on the pillows . Awakened at 06 : 45 am to have a phone number , then an hour later because the number did not work . . . In short , flee ! ! !"
257,Below expectations but the guest experience is good
258,Love the place . . . Cool n serine environment
259,Rates are very moderate
260,It a nice place I really enjoy my stay
261,Will be there
262,Sirens atmosphere
263,"Facilities good . Human relationship above average . No bar services , no restaurant to provide food for clients who will register to stay at the Guest House late night ."
264,Cool place . But do not expect too much .
265,They have the best customer service
266,Cheap but not a place I ' ll go again . 2 stars because receptionist is nice .
267,"Beach side guest house , their rates are cool ."
268,"It ' s a moderate consideration financially . Very serene and great place as it ' s by the sea with a public beach but not much people there so you can relax in peace . Good staff , does what it takes to satisfy customer . The owner has great human skills . One thing I loved was that , they had no mosquitoes because of the strong breeze always around ."
269,Good place at the centre of town
270,Serine environment . A cool place to relax
271,nice and clean rooms breakfast was superb the night manager was awesome
272,Cool place
273,Quite quiet
274,"Great Hospitality , generally a very clean place"
275,Was a nice environment when I had my drink .
276,"Staf is Amazing , especially Fredrick who will help you out with everything . Loved the energy and the environment was very serene !"
277,"In the middle of an impressive green setting , the Ahanta Eco Lodge conceals a magnificent garden which will be the decor of your stay . Very diverse rooms , ranging from a suite with bathroom , some apparently without , to the Beach House , attached to the surf school of the lodge ( note that the latter are relatively distant from the rest of the lodge , it will be necessaryCount at least 5 minutes of walking , crossing the lagoon at low tide or passing through the village ) . In general , the road leading to Busua and therefore the eco lodge is rather chaotic and damaged . Count on a good driver and don ' t be afraid of the bridge over the lagoon . The team is responsive and accommodating ( we were able to change rooms at the last moment at our request , thank you Fredrick ! ) . The kitchen is cleanly fabulous , with various dishes and a different menu every day , with local products . The chef will be able to surprise you with his authentic and homemade cuisine . At the bar , Francis can prepare a whole range of cocktails tasty than each other . Special mention for your homemade akpetesthie and good humor : ) Our stay was more than pleasant , we hope to be able to come back soon !"
278,"I have stayed at Ahanta for several days after a long journey through Ghana and enjoyed the calm and relaxing atmosphere a lot . The location is beautiful , I loved the tree shower . I felt close to nature and it was just next to the beach side . The staff was friendly , even though more information would have been helpful at the check - in . We had to approach the staff several times for upcoming questions that could have been cleared in the very beginning . The food was amazing ( even though it was a bit pricier than at other places ) and the outside sitting and relax areas are wonderful . The only thing that really disturbed me / us were the rats in our bedroom and the washroom . We tried to pack drinks / snacks as good as we could in several plastic bags into out backpacks but still they entered the room and went into our stuff . I was personally very scared during night , because you could hear them and we saw them , too when we entered our room after a day at the beach . I called reception during the night , but they couldnt do anything about it at that point . The next day they offered to clean the room once more and fill certain holes in the wooden roof , but it didnt help . They asked for our understanding , because it was an ecolodge and animal - friendly place , but talking about rats I cannot accept that argument . Especially because later they offered us to place traps in our room ( which is not animal - friendly ) ; ) Moreover , the next night when I used the washroom , a rat was in the bin which was supposed to be emptied during the afternoon cleaning . I only then read that other people had rat problems , too at Ahanta which for me made sleeping almost impossible . Still , its a really amazing place and I guess one of the most beautiful stays in Busua , but the rat experience diminished the overall very good experience ."
279,"For me the best hotel in Busua . Super nice staff , flexible when it comes to the wishes of the guests , grandiose cocktails and excellent food . The bridge to the lodge is unfortunately an imposition and unfortunately I have to confirm the stories with the rats from other reviews . Therefore only 4 stars ."
280,"Nice accommodation at the end of the beach . There are rooms with different comfort . We were in the "" Wood House "" and that is rather comfortable . However , the photos are from the first bungalow in the garden in front of the restaurant . The food is excellent and the cocktails are also recommended . Because of the standing water in front of the garden , mosquito spray is strongly recommended . So you can sit outside ."
281,"Everything great . Essen , drinks & accommodation ."
282,"We very much enjoyed our stay at Ahanta . The rooms and communal area are very nicely done , very cosy and clean . 3 options are offered for dinner daily ( 40 - 70ish GHS ) which were always very tasty , and as there ' s one big table it provides the opportunity to get to know the other guests . There are also cocktails available , and breakfast is better than the standard hotel fare . Busua doesn ' t offer a lot to do other than surfing ( offered by lovely instructors from Ahanta ) , so come prepared for a quiet stay with lots of reading . We also ate almost exclusively at the lodge as there aren ' t many other options . There is also the Ahanta surf / beach hut at the beach which is a nice spot to hang out . To get to the village or main beach stretch you have to cross the lagoon , which isn ' t all too pleasant and at several times of the day a bit dangerous with high & fast water levels . You can also walk the long way around , across a patchy bridge and through the ( small and not touristy ) village . One or two other things that were less than ideal : - daily wake up calls round 6 . 15 from our local rooster ( in general we enjoyed observing the chickens / roosters , goats and dogs at the lodge though ) . Sometimes we were woken up by other animal noises during the night . - due to the rainy season , everything was very slightly damp ( bed sheets , towels , clothes ) and drying was difficult , some things started to smell a little moldy - the outside area could be improved with more places to sit , especially in the sun Other than that we had a lovely , albeit quiet time , the staff were really great and if we come back to Busua we will return !"
283,"Great little eco lodge cornered off by a lagoon . Stayed in budget room which as the name suggests is pretty budget but still good value for money . Showering at the gigantic tree is definitely an experience . 
 Relaxing atmosphere and great food with WiFi . Prob one of if not the best place to stay in Busua hence it ’ s popularity . Make sure you book in advance ."
284,"A wonderful place with very beautiful rooms , good cuisine and a great bar . ( Unfortunately , the associated surf school made an opposite impression : unpunctual , unmotivated guides and old , sometimes bad material . )"
