,comment
213,"This is one of the nice and big hotels in Takoradi. I was hoping to have a better experience than I did; especially knowing they are now owned by Eagles.

Their staff were generally nice, but their services were poor. The breakfast buffet was very limited. We had the same options of food for our 3 night stay for breakfast.

I wouldn't add it to my favourite places in Takoradi.

Hopefully, they improve soon"
214,nan
215,Nice place
216,nan
217,nan
218,nan
219,nan
220,nan
221,nan
222,nan
223,nan
224,nan
225,"If not the best, it's among the best hotels in not just in Takoradi but Ghana as a whole.💯❤️"
226,I have a sound mind for learning
227,We stayed at this hotel for a family vacation and had an amazing time. The staff were friendly and went above and beyond to make the stay enjoyable.
228,nan
229,nan
230,My staying at Alliance is peaceful and perfect. The access road to the hotel must be looked at.
231,nan
232,"Bad experience. Had to change rooms. Stained mattress, broken window, broken toilet seat and so many issues"
233,nan
234,"Unpaved roads leading to the hotel, roomservice taking almost 1,5hours to deliver a simple meal, diarrhea from the food (or water?), shower spraying more water to the ceiling than to the floor, other guests playing loud music at the pool, male guest staring inappropriately at me in the gym and reception taking no immediate action afterwards, i won't recommend this hotel to anyone, especially other female foreigners."
235,It's an amazingly serene and luxurious place to spend a few nights and forget about the world.
236,Very nice lodge
237,Nice place
238,I stayed in the hotel for a work related retreat and liked the experience. The rooms were very clean and their facilities were standard. Their front desk staff were very friendly and welcoming but two of the staff did not depict this trait. Their conference rooms were ok even though I think the arrangements of the furniture was not fit for purpose given the nature of our engagement. I didn't get to use other facilities such as gyms and so I can't attest to its availability or state . Overall it's a lovely place especially for a weekend getaway..
239,There is a lovely ambience and I really enjoyed the buffet dinner
240,Serene environment
241,nan
242,nan
243,The best comes from the West
244,"Отель норм, но я написал в бассейн, и меня выгнали
(
Хотелось бы писать в бассейн с кайфом!!! Пофиксите баг, пж, а так все норм
П.с. я козявку в номере оставил, скиньте на Тинькофф биточеk"
245,"😍😍😍😍

I loved our stay at this hotel. The room is fabulous. Furniture is so adorable.

The bedstead had this classy display of transparent material with super comfortable mattress and bedding.

The view from our window was beautiful. Showing the pool and vast green fields around the hotel.

Washroom, housekeeping and breakfast were on point. Rooms Rates are a little on the high side.

In the evenings during holidays, the live band music is a must. Anytime I’m back in Takoradi, I’ll surely visit again."
246,nan
247,nan
248,"Management should just look things through, things here are way expensive, how can just 4pcs of spring rolls be 100gh.n to ma opinion u guys are losing customers..cos alot of pple complaining about prices here.thanks!"
249,"Great hotel in Takoradi, very nice view to ocean."
250,"Indeed, we've places and we've places.... eiii Takoradi! Yɛ wɔ adze oye ❤️🌍🦋🙏 Takoradi to the world 🌎"
251,nan
252,"Walk inn shower. Moderate neat comfortable rooms.
There are 3 swimming pools (kids, normal & Olympic size). Well maintained. Dining either by the pool side, dinning areas or whatever is so comfortable and relaxing for lovers, family or business meetings indoors and outdoors.
I can view what goes on at the beach, golf course, football pitch and swimming pools from the comfort of my room.  This is 👌.  Guess what! The meals aren't expensive as I imagined.  Wifi is unreliable."
253,nan
254,nan
255,Calm space and very accessible from the Takoradi city. It’s on the beach road
256,nan
257,nan
258,nan
259,nan
260,nan
261,nan
262,nan
263,nan
264,"Clean rooms, warm staff reception, with a good variety of options on their buffet breakfast menu. Lovely view of the ocean and lovely landscape from the hotel rooms"
265,Great view and Serene environment.
266,nan
267,"Pizza was nice.
Friendly, and lovely environment with a scenic view."
268,"Awesome and relaxing hotel, good  for business and family out"
269,nan
270,The Ghana Institution of Engineering held its annual banquet (dinner) here and the food was very tasty. Set up for the AGM was also great. Nice place!
271,nan
272,nan
273,Still a great place in Takoradi
274,Nice and wonderful place to relax and work
275,nan
276,"5⭐ этим всё сказано.Всё супер,еда,отдых,удобства,и.т.д."
277,nan
278,nan
279,Thank you to management and Staff. Excellent service.
280,nan
281,nan
282,Fantastic
283,"The hotel is nice however the price for this resort is not cheap and for a 4 star hotel I was expecting a higher standard.
We booked a seaview chalet but could not see the sea due to the back gate and trees.
The building needs to be renovated.
The shower was not draining properly, the swimming pool lounge chairs were not in good condition and the pool beds were dirty.
We didn’t have have hot water for the first day and night, this was rectified but our first showers were cold.
We had a power cut which lasted more than an hour. The hotel should have an operational generator.
The only positive thing was the breakfast buffet with continental and freshly cooked food including local food that was very tasty."
284,Air conditioning was poor and I hardly slept all night. Pillows were like big gummy bears (extremely firm and round). Had some food outside at the back and it was ok.
285,nan
286,"Very good hotel, clean rooms, very comfortable and delicious food, it's the best hotel to stay in Takoradi in my opinion."
287,nan
288,nan
289,Great resort
290,nan
291,It’s absolutely beautiful! Staff is very friendly and caring. An excellent selection of food on the menu. Perhaps a larger selection of onsite entertainment would make it the perfect getaway to stay in
292,"I absolutely loved my stay at Red Mango. I was there for my honeymoon and it was lovely. Their rooms were really neat and modern, staff were welcoming and friendly but professional, the pool, the food, the environment, access to town etc. It was a perfect hideout for us!"
293,Service and the location is a top notch 😊👌
294,nan
295,"I recommend for everyone, the best place to be . .."
296,Appartements bien arrangés pour un bon confort du couple et famille. Bien situé au coeur de Takoradi
297,"I had great time at Red mango hotel. The service  was excellent, food was and room was very nice."
298,nan
299,nan
300,nan
301,"This is located at a very serene area in Takoradi. Very close to the road and it's easily accessible. The rooms are cool, quite average. Their services are nice. The one who attended to me was very smart and professional."
302,The environment is serene. Great view at night. Good to dinners and couple night out
303,nan
304,nan
305,The rooms are so nice and comfy! Beautiful experience
306,I had an amazing experience and would definitely recommend to anyone looking to visit Takoradi soon.
307,"Couldn’t have asked for any better.
Services were top notch."
308,Red Mango has an awesome interior design. And the rooms were really neat. I personally loved the washrooms. Top class.
309,It was lovely. Clean room. Staff was polite and professional. I enjoyed my stay 🥰
310,I enjoyed my stay
311,nan
312,Very comfortable and serene environment. I will go there again.
313,"The facilities exceeded my expectations. The bed was very comfortable, the living room was spacious, the kitchenette was useful and as a breastfeeding mum, I love that you had a fridge with a sizeable freezer unit.

However there was a smell in the room which was quite strong. Smelt like sewage/something dump that didn’t dry properly; especially the area around the vent in the kitchen. Regardless, I was impressed, enjoyed my stay."
314,It’s a really lovely place. Apartments are very neat and feel like home. Their pool is very tidy and customer service is excellent.
315,nan
316,nan
317,Excellent 👌
318,nan
319,Love the pool
320,Best New hide out in takoradi for me. Lovely rooms!! Very friendly staff. Will go all out to get your requests met. Only problem is pool is unattended to. And I saw crows bathing in it. Not very healthy. Hopefully it's addressed.
321,nan
322,"The best hotel for business and vacation, and has nutritious and assorted food for every occasion."
323,Nice place
324,"Lovely apartment with high quality finishing, has kitchenette but facility provides catering services as well. There's daily room cleaning and staff are top notch professional and friendly. There's an infinity pool set in a peaceful garden. Great place for work travel or a get away"
325,nan
326,A cozy and relaxing place for the whole family
327,nan
328,Lovely and serene place. The waitresses were more than happy to serve us. It is a good accommodation pick if you’re In Takoradi for a few days
329,nan
330,nan
331,nan
332,nan
333,Nice place and bar area
334,nan
335,nan
336,"What a place to be , a siren environment and perfect when it comes to the service they render to their guest."
337,nan
338,nan
339,nan
340,nan
341,nan
342,Best Place i ever visit
343,Gives comfortable home away from home
344,nan
345,W
346,nan
347,nan
348,nan
349,nan
350,Great
351,nan
352,Indeed it is a nice place to be
353,nan
354,Beautiful Compound
355,nan
356,Cozy room. Serene  environment
357,Nice environment
358,nan
359,nan
360,nan
361,nan
362,nan
363,nan
364,Nice
365,Sedelam Lodge is a home away from home. U will never regret if you cherish comfort. Cousy and serene. Will recommend Sedelam on any day. 100% 👌
366,nan
367,A very Good hotel in Aboadzi enclave
368,Nice place to be. 👍
369,nan
370,A very Cool and Nice place to lodge. Excellent client service. I highly recommend Sedelam Lodge for anyone looking for a cool place to lodge in Takoradi.❤️
371,"Friendly staff, well managed and very Serene environment. It's a must if you are looking for a change from the usual buzz of the city to just relax and have fun"
372,A nice place to have a countryside vacation. Beautiful environment and great reception. I recommend this place.
373,Beautiful environment with excellent service. I really enjoyed my stay and the great customer service provided. I recommend you visit this. More than a home
374,My Honeymoon stay at the Sedelam Lodge was the best. It has serene and beautiful edifice with comfortable king/Queen size beds. #sedelam❤️❤️
375,Great environment. Nice and comfortable rooms. My family and I totally enjoyed our stay.
376,"VERY COMFORTABLE LODGE TO BE, BEST EXPERIENCE."
377,"Great place in a very serene area. If you need a place away from the hustle and bustle of the city to get on with your business, Sedelam is the place to be."
378,"Excellent Hotel Service, Serene Environment. Nice room. I loved my stay"
379,Serene
380,Nice
381,Nice serene view
382,nan
383,A well managed lodge with decent facilities. I rate it a 3 star because of some minor factors
384,nan
385,nan
386,nan
387,nan
388,nan
389,nan
390,nan
391,Boarding facility provided by the College
392,nan
393,The place was cool and refreshing
394,"Guest house située en haut d'une volée d'escaliers irréguliers très pentus d'accès incommode.Superbe vue sur la ville et la mer.Chambres vastes, propres mais sans eau courante assurée.manque d'empathie du personnel.aucun petit déjeuner disponible ni WiFi, contrairement à ce qui est mentionné.Eloignement du centre un peu compliqué à gérer passé18h heures de fin de service des tricycles taxis"
395,nan
396,"Not bad at all, just be careful on the address provided"
397,"I enjoyed my stay here! Very big room, good location and great to the sea view and even the community view...I wake up every morning standing on my corridor viewing the sea and also see people passing by. It's life worth for this for me.
Just had some little challenges with booking.com. breakfast was started but i understood it was a mistake on the booking page. Apart from that, all was good."
398,nan
399,nan
400,nan
401,Nice place and affordable. I wished they had constant water flow and Wifi. Aside that everything else average.
402,Was fantastic
403,Nice place
404,nan
405,nan
406,nan
407,Cool place
408,nan
409,It was cool and I love it
410,"Room quite spacious,but No running water."
411,nan
412,It was ok
413,Was and has been really happy for a very long time...//*/residing here has been very wonderful all these years...//*/*/
414,nan
415,nan
416,Cool
417,"oh i like when you there you see the township .their rooms are spacious. but there is no bar,spa"
418,nan
419,"Free WiFi, and Internet access"
420,nan
421,nan
422,Affordable and beautiful
423,nan
424,"No sirven desayuno. El acceso es complejo, hay varios escalones. Es medianamente decente por el precio que piden. Las vistas son bonitas"
425,nan
426,nan
427,Yaa
428,This guest house treat their visitors very nice and the place is indeed meant for relaxation
429,"Perfect in the sense that you have a peaceful place well situated with lovely staff always there to help!
It was a pleasure to be there and I highly recommend it."
430,Comfortable and peaceful
431,nan
432,Good
433,nan
434,The place is not well equipped specially the rooms and they don't have good offers too
435,nan
436,"Vacation, went to swim"
437,Bad network but serene environment.
438,"Neuvěřitelně milý a vstřícný personál, ochotný vždy poradit a pomoct. Moc jsme si to tam užili"
439,nan
440,"Nice pool, a good place to socialise, especially on weekends and holidays"
441,nan
442,nan
443,"Nice hotel, affordable hotel. Got a pool, gym, restaurant, friendly and effective staff."
444,nan
445,nan
446,FRIENDLY STAFF AND GREAT ENVIRONMENT AS WELL. I RECOMMEND TO EVERYONE VISITING CAPE COAST LODGE THERE.
447,It's a nice place to be
448,nan
449,It is a very nice place
450,nan
451,Nice place. Kindly fix the road leading to the facility. The network is terrible by but a great place to be
452,Very good Services
453,nan
454,nan
455,nan
456,nan
457,"It's a good hotel in a serene area. It has a fitness center, a bar and a swimming pool."
458,"I enjoyed that place, very safe, rooms are neat, their service are nice and the location is awesome"
459,nan
460,nan
461,Nice place cool for family events
462,nan
463,Infact I did that design and the rooms are so spacious.You have your comfort.
464,Very serene environment
465,It a nice place with amazing envernoment
466,nan
467,Excited
468,nan
469,Good
470,nan
471,nan
472,nan
473,nan
474,Nice atmosphere
475,nan
476,nan
477,Cool place
478,nan
479,nan
480,Its a nice place. We went to swim in the pool with my students. We enjoyed the clean water and had some fun
481,Fun
482,nan
483,nan
484,Cool place to be
485,nan
486,"I met one of the managers, Richard, he was super good. Excellent customer service. They have clean room just that they get a little heated up in the afternoons."
487,nan
488,nan
489,"I think the management need to step up their game..Room service was not good..and I haven't yet know a guest house that charges Gh¢100 for a night without serving  Breakfast, and even tying to get food around the area is quite a challenge."
490,Friendly staff
491,"À déconseiller, endroit sale, trop chaud, les WC communs ne ferment pas à clé, pas de serviette ou de savon pour la douche, pas de poubelle dans la chambre, poussière, poils et cheveux sur les oreillers. Réveillé à 06h45 pour avoir un numéro de téléphone, puis une heure plus tard parce que le numéro ne fonctionnait pas... bref, fuyez !!!"
492,Below expectations but the guest experience is good
493,nan
494,Love the place... Cool n serine environment
495,Rates are very moderate
496,nan
497,"It a nice place
I really enjoy my stay"
498,nan
499,Will be there
500,Sirens atmosphere
501,nan
502,"Facilities good. Human relationship above average.
No bar services, no restaurant to provide food for clients who will register to stay at the Guest House late night."
503,Cool place. But do not expect too much.
504,They have the best customer  service
505,nan
506,nan
507,nan
508,Cheap but not a place I'll go again. 2 stars because receptionist is nice.
509,nan
510,"Beach side guest house, their rates are cool."
511,"It's a moderate consideration financially. Very serene and great place as it's by the sea with a public beach but not much people there so you can relax in peace.
Good staff ,does what it takes to satisfy customer. The owner has great human skills.
One thing I loved was that ,they had no mosquitoes because of the strong breeze always around."
512,Good place at the centre of town
513,nan
514,nan
515,Serine environment.  A cool place to relax
516,nan
517,nan
518,"nice and clean rooms
breakfast was superb
the night manager was awesome"
519,nan
520,Cool place
521,nan
522,Quite quiet
523,"Great Hospitality, generally a very clean place"
524,Was a nice environment when I had my drink.
525,"Staf is Amazing, especially Fredrick who will help you out with everything. Loved the energy and the environment was very serene!"
526,"Au milieu d'un cadre de verdure impressionnant, l'Ahanta Eco Lodge recèle un magnifique jardin qui sera le décor de votre séjour.
Chambres très diverses, allant d'une suite avec salle de bain, certaines apparemment sans, jusqu'à la Beach House, accolée à l'école de surf du lodge (à noter que ces dernières sont relativement éloignées du reste du lodge, il faudra compter au moins 5 minutes de marche, en traversant le lagon à marée basse ou en passant par le village). De manière générale, la route menant à Busua et donc à l'éco lodge est plutôt chaotique et endommagée. Comptez sur un bon chauffeur et n'ayez pas peur du pont passant au dessus du lagon.
L'équipe est réactive et arrangeante (nous avons pu changer de chambre au dernier moment à notre requête, merci Fredrick!).
La cuisine est proprement FABULEUSE, avec des plats variés et un menu chaque jour différent, avec des produits locaux. Le chef saura vous surprendre avec sa cuisine authentique et faite maison.
Au bar, Francis pourra vous préparer toute une gamme de cocktails plus savoureux les uns que les autres. Mention spéciale pour son akpeteshie maison et sa bonne humeur :)
Notre séjour a été plus qu'agréable, nous espérons pouvoir revenir bientôt!"
527,"I have stayed at Ahanta for several days after a long journey through Ghana and enjoyed the calm and relaxing atmosphere a lot. The location is beautiful, I loved the tree shower. I felt close to nature and it was just next to the beach side. The staff was friendly, even though more information would have been helpful at the check-in. We had to approach the staff several times for upcoming questions that could have been cleared in the very beginning. The food was amazing (even though it was a bit pricier than at other places) and the outside sitting and relax areas are wonderful.

The only thing that really disturbed me/us were the rats in our bedroom and the washroom. We tried to pack drinks/snacks as good as we could in several plastic bags into out backpacks but still they entered the room and went into our stuff. I was personally very scared during night, because you could hear them and we saw them, too when we entered our room after a day at the beach. I called reception during the night, but they couldnt do anything about it at that point. The next day they offered to clean the room once more and fill certain holes in the wooden roof, but it didnt help. They asked for our understanding, because it was an ecolodge and animal-friendly place, but talking about rats I cannot accept that argument. Especially because later they offered us to place traps in our room (which is not animal-friendly) ;) Moreover, the next night when I used the washroom, a rat was in the bin which was supposed to be emptied during the afternoon cleaning. I only then read that other people had rat problems, too at Ahanta which for me made sleeping almost impossible.

Still, its a really amazing place and I guess one of the most beautiful stays in Busua, but the rat experience diminished the overall very good experience."
